station,day,max_temp_f,min_temp_f,precip_in,avg_wind_speed_kts,avg_wind_drct,min_rh,avg_rh,max_rh,max_wind_speed_kts
PHX,2000-08-18,97.0,77.0,0.0,5.501393,110.778435,31.748,49.145733,76.569,10.0
PHX,2000-08-19,105.0,84.0,0.0,3.0455928,78.23389,22.1634,34.19325,51.2489,8.0
PHX,2000-08-20,106.0,85.0,0.0,3.7852113,141.5046,18.3253,29.233818,44.6264,12.0
PHX,2000-08-21,105.0,85.0,0.0,4.5159235,82.143425,18.4416,26.998625,38.6968,9.0
PHX,2000-08-22,101.0,79.0,0.0001,7.883829,156.89398,24.9621,34.564793,66.5828,24.0
PHX,2000-08-23,99.0,79.0,0.0001,5.442379,295.9942,25.3753,39.37563,60.4858,9.0
PHX,2000-08-24,104.0,78.0,0.02,4.816879,138.26909,24.2938,43.78108,73.9652,18.0
PHX,2000-08-25,101.0,80.0,0.0,5.03937,266.91077,25.253,41.67144,62.2913,10.0
PHX,2000-08-26,105.0,84.0,0.21,5.539613,111.87317,21.469,35.90818,53.0308,16.0
PHX,2000-08-27,92.0,83.0,0.0,7.6740947,264.82724,37.9889,47.64556,56.7175,16.0
PHX,2000-08-28,93.0,78.0,0.01,4.8726115,147.65265,36.723,52.73965,73.9652,8.0
PHX,2000-08-29,85.0,72.0,0.14,6.0755816,223.49013,39.8331,62.583122,90.6553,11.0
PHX,2000-08-30,93.0,74.0,0.0,5.3116198,101.422966,32.9224,55.97119,76.3059,22.0
PHX,2000-08-31,94.0,71.0,0.0,4.009554,119.86144,23.9615,42.269424,68.2518,8.0
PHX,2000-09-01,92.0,76.0,0.0,4.665738,186.63786,13.4896,27.86078,43.5648,9.0
PHX,2000-09-02,98.0,73.0,0.0,2.8327138,133.42003,13.2975,26.86246,44.2275,7.0
PHX,2000-09-03,101.0,74.0,0.0,4.2420382,124.42604,11.3773,25.287573,41.3834,9.0
PHX,2000-09-04,104.0,74.0,0.0,3.0526316,91.74905,11.4716,22.27953,35.9081,7.0
PHX,2000-09-05,104.0,78.0,0.0,4.0116277,111.46842,13.045,21.159487,32.362,10.0
PHX,2000-09-06,102.0,85.0,0.0,6.2279634,315.4786,15.0455,22.779116,28.9047,13.0
PHX,2000-09-07,107.0,82.0,0.0,3.8996656,265.21948,13.2961,24.376013,36.9081,8.0
PHX,2000-09-08,105.0,83.0,0.01,5.231003,241.13702,15.4116,25.791048,39.8331,10.0
PHX,2000-09-09,103.0,78.0,0.0,4.1152415,72.085365,15.4594,25.536669,40.228,10.0
PHX,2000-09-10,100.0,81.0,0.0,4.555184,117.60379,25.7917,36.296085,47.8308,12.0
PHX,2000-09-11,102.0,82.0,0.0,4.136778,268.708,18.1859,35.429108,52.9345,9.0
PHX,2000-09-12,105.0,79.0,0.0,3.487261,243.27728,13.2961,24.811304,42.1638,9.0
PHX,2000-09-13,109.0,79.0,0.0,3.8628762,130.63533,11.4363,21.177986,49.0857,8.0
PHX,2000-09-14,112.0,80.0,0.0,3.5927052,182.07951,12.947,19.094822,32.67,7.0
PHX,2000-09-15,110.0,83.0,0.0,6.826087,118.6669,14.3313,18.449572,25.9351,15.0
